example_id                                                             | status  | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed  | 0.01363 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed  | 0.01559 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed  | 0.0084 seconds  |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed  | 0.00144 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed  | 0.00329 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed  | 0.00599 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed  | 0.01511 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed  | 0.01457 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed  | 0.01263 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed  | 0.01143 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed  | 0.01437 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed  | 0.01172 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed  | 0.009 seconds   |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                          | passed  | 0.00079 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                          | passed  | 0.00104 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed  | 0.0014 seconds  |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed  | 0.02789 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed  | 0.00628 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed  | 0.02423 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed  | 0.01139 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed  | 0.01179 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed  | 0.01228 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed  | 0.00996 seconds |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed  | 0.05344 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed  | 0.06717 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed  | 0.07895 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed  | 0.07074 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed  | 0.0627 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed  | 0.0613 seconds  |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed  | 0.01868 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed  | 0.02449 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed  | 0.0171 seconds  |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed  | 0.02133 seconds |
